licitacao,unidade,objeto,modalidade,criterio_julgamento,data_publicacao,data_limite_proposta,data_abertura_sessao,status
PD002_/R2,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Calibração de aparelhos fonoaudiológicos,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,27/08/2026 07:00:00,08/09/2026 10:59:00,08/09/2026 11:00:00,CLASSIFICAÇÃO DE LANCES
PD0035/24,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,UERJ-AQUIS CATETER E INTRODUTOR,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,31/10/2024 08:00:00,06/11/2024 08:59:00,06/11/2024 09:00:00,AGUARDANDO HOMOLOGAÇÃO
PD0036/24,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUISIÇÃO DE TABLETS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,31/10/2024 08:00:00,06/11/2024 08:59:00,06/11/2024 09:00:00,DECLARAÇÃO DE VENCEDORES
PD0043/26,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS SCANNER E SOFTWARE DE CAPTURA,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,10/04/2026 08:00:00,15/04/2026 08:59:00,15/04/2026 09:00:00,EM NEGOCIAÇÃO/HABILITAÇÃO
PD0048/24 R1,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS INSUMOS PARA LABORATÓRIO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,02/12/2024 11:55:00,06/12/2024 08:59:00,06/12/2024 09:00:00,AGUARDANDO HOMOLOGAÇÃO
PD0057/26 R1,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,UERJ-AQUIS DE ATADURAS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,29/07/2026 08:00:00,04/08/2026 08:59:00,04/08/2026 09:00:00,CLASSIFICAÇÃO DE LANCES
PD0069/26,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS DE FRIGOBAR 117 LITROS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,03/06/2026 09:10:00,10/06/2026 08:59:00,10/06/2026 09:00:00,HOMOLOGAÇÃO
PD0071/26 R1,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS SMART TV E SUPORTE DE FIXAÇÃO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,13/08/2026 11:30:00,18/08/2026 08:59:00,18/08/2026 09:00:00,CLASSIFICAÇÃO DE LANCES
PD0073/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,FS - AQUISIÇÃO DE REAGENTES,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,27/07/2026 15:37:00,30/07/2026 10:00:00,30/07/2026 10:05:00,AGUARDANDO HOMOLOGAÇÃO
PD0074/26,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,UERJ-AQUIS DE ATADURAS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,10/06/2026 14:00:00,15/06/2026 08:59:00,15/06/2026 09:00:00,CLASSIFICAÇÃO DE LANCES
PD0079/26 R1,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,UERJ-AQUIS FIXADOR DE TUBO OROTRAQUEAL,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,20/08/2026 08:00:00,25/08/2026 08:59:00,25/08/2026 09:00:00,EM NEGOCIAÇÃO/HABILITAÇÃO
PD0081/24,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUISIÇÃO DE MOBILIÁRIO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,02/12/2024 11:30:00,05/12/2024 08:59:00,05/12/2024 09:00:00,PRAZO RECURSAL
PD0093/26 R1,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,UERJ-AQUIS DE ETIQUETA TERMICA ADESIVA,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,25/08/2026 08:00:00,31/08/2026 08:59:00,31/08/2026 09:00:00,CLASSIFICAÇÃO DE LANCES
PD0096/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,FS - AQUISIÇÃO DE REAGENTES,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,21/07/2026 10:46:00,24/07/2026 10:00:00,24/07/2026 10:05:00,AGUARDANDO HOMOLOGAÇÃO
PD0099/26,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUISNOTEBOOK IMPRESSORA COMPUTADOR,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,21/08/2026 08:00:00,27/08/2026 08:59:00,27/08/2026 09:00:00,AVALIAÇÃO RECURSAL
PD01,SUDERJ - SUPERINTENDÊNCIA DE DESPORTOS DO ESTADO DO RJ,"AQUISIÇÃO DE CAFÉ, AÇÚCAR E ADOÇANTE",PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,31/03/2025 16:00:00,04/04/2025 16:00:00,04/04/2025 16:30:00,CLASSIFICAÇÃO DE LANCES
